grandeur	6	16	19	28	51	87	139	229	341	twinkle	1	1	2	3	3	8	14	35	54
serpent	3	3	8	9	17	26	35	75	125	gateway	1	2	3	11	29	62	105	207	406
imitation	1	2	6	9	14	26	36	61	100	battalion	17	25	34	45	67	94	136	193	274
inclination	3	3	6	9	14	27	51	113	217	prediction	10	17	21	33	54	86	156	272	468
treachery	9	13	16	30	43	71	112	153	250	finality	1	2	2	2	6	18	34	71	156
superiority	2	4	8	12	22	43	97	195	366	motherhood	3	6	11	16	27	34	54	97	159
prudence	2	3	4	10	23	32	49	68	109	homespun	0	0	0	1	2	3	9	17	32
favour	7	16	35	80	141	264	452	794	1281	walkin	0	0	0	0	0	4	11	17	33
savage	1	2	3	10	15	35	75	177	370	flank	1	1	2	3	6	10	16	29	59
torrent	21	30	43	69	95	142	206	334	502	wrapper	1	1	1	2	3	5	12	26	55
attachment	4	4	7	13	20	50	128	268	515	wallpaper	6	10	18	31	49	76	126	216	347
gentleness	15	23	36	52	77	112	165	255	379	indecision	1	2	2	9	15	27	51	94	149
scoundrel	0	0	1	1	2	5	13	27	44	barnyard	1	1	1	1	1	1	3	5	16
extremity	4	5	10	16	31	51	94	138	226	antelope	5	6	9	14	20	39	59	98	168
rapture	1	1	3	6	9	14	22	46	80	cutter	4	6	9	17	28	53	86	150	258
greatness	6	15	28	63	116	185	299	501	805	precedent	3	5	14	27	62	105	200	348	575
wreath	5	10	15	23	37	58	84	136	215	marshal	1	2	4	10	15	20	27	55	99
doctrine	18	22	40	71	123	194	323	531	855	asphalt	9	14	20	22	34	44	73	117	181
constitution	31	44	62	102	149	234	379	609	973	inflammation	35	54	88	151	239	344	512	696	967
merit	8	15	25	44	94	178	322	552	901	plea	13	26	40	64	88	136	213	333	507
discretion	8	17	32	69	122	227	361	569	877	parachute	1	3	3	5	9	16	27	41	65
proportion	37	63	119	196	313	500	780	1141	1665	sculpture	16	25	34	53	79	109	148	242	382
calamity	5	7	8	14	19	28	47	74	132	shyness	3	7	12	23	29	49	83	128	194
contemplation	10	14	22	31	48	76	121	193	305	confessional	0	1	1	1	3	3	7	13	29
reproach	3	8	15	23	41	62	104	195	319	swimmer	5	9	12	17	27	33	51	66	95
exertion	2	6	9	14	27	42	83	140	259	dreamer	2	4	4	5	7	13	16	34	77
melancholy	24	33	53	76	112	170	254	386	591	breakdown	2	5	6	16	26	61	106	230	510
indulgence	6	8	11	13	19	34	50	79	136	embankment	1	1	2	7	13	18	30	43	77
prejudice	13	17	28	39	70	115	195	327	540	plumbing	18	30	42	61	84	116	173	231	338
treason	7	10	17	35	52	74	105	149	225	hooker	0	0	2	3	3	6	21	47	94
displeasure	14	23	28	38	51	78	119	177	275	stronghold	3	4	6	8	13	23	37	62	119
draught	0	0	1	4	6	11	18	25	39	armful	3	3	3	3	5	5	7	8	10
calmness	12	17	23	35	63	106	154	244	383	drinkin	8	13	20	29	45	71	98	145	200
modesty	2	5	10	14	25	41	59	105	172	grocer	4	6	8	11	16	19	26	37	70
probability	12	30	54	82	143	229	351	543	834	irrigation	6	9	15	27	41	61	92	144	226
declaration	9	14	20	31	72	122	227	395	666	spirituality	21	36	58	87	135	224	332	503	755
coldness	3	9	15	31	45	64	110	187	294	brocade	0	0	1	3	7	23	34	57	87
superstition	2	4	9	11	16	20	35	69	122	exhilaration	8	10	20	34	58	88	137	211	315
neighbourhood	4	9	14	25	45	70	101	155	285	quartermaster	1	5	7	8	10	20	29	46	74
captive	2	2	2	2	3	6	17	27	54	unison	0	0	1	1	1	5	18	32	57
assent	0	2	3	4	6	8	17	32	66	waltz	2	4	6	8	18	29	49	78	117
solemnity	2	2	4	5	12	21	39	69	111	stockade	0	0	0	0	0	0	2	8	16
pledge	9	12	16	22	36	80	160	299	534	villa	17	27	40	68	103	154	234	359	541
fiend	1	1	1	2	3	6	12	19	36	divan	1	3	6	6	11	17	25	39	52
republic	23	43	71	100	154	225	329	504	890	plateau	2	4	4	13	22	36	58	109	162
concealment	0	2	5	6	8	11	15	23	39	stenographer	0	0	2	2	3	3	6	8	17
conquest	4	4	9	12	25	46	74	115	188	glamour	12	17	30	44	75	120	189	298	449
lustre	3	4	4	6	11	15	29	37	69	laddie	0	0	0	0	1	1	1	2	3
firmness	5	5	7	11	20	31	52	91	141	keyhole	0	0	1	4	7	16	32	61	93
fondness	8	10	18	24	40	72	122	199	325	symptom	22	35	52	84	138	217	322	490	720
proofs	2	2	3	3	6	12	28	58	116	eatin	2	4	9	23	35	53	82	140	208
falsehood	7	13	18	31	50	91	131	228	362	sombrero	0	0	1	1	1	1	3	5	14
saviour	10	16	25	43	61	96	138	198	301	palais	2	4	7	13	25	42	62	98	147
nobility	6	9	12	16	23	44	67	116	192	faraway	4	4	4	4	4	4	10	22	43
confederate	11	17	23	30	42	67	100	153	223	breakwater	0	2	4	7	8	12	17	23	42
solicitude	1	1	1	6	10	13	36	74	134	tarpaulin	2	2	2	2	2	5	10	13	22
precipice	2	2	2	4	4	11	18	23	37	subtlety	15	22	34	41	72	112	153	243	371
interference	5	7	11	20	39	84	169	321	571	conditioning	7	10	15	29	45	78	144	258	411
